key	no_going_back_level	hidden	precedence	icon	ui_priority	pre_battle_speech_parameter
#character_traits_tables;2;db/character_traits_tables/rhox_iee_lccp						
hkrul_defeated_trait_sceolan	1	false	1	hkrul_sceolan	1	
hkrul_defeated_trait_valbrand	1	false	1	hkrul_valbrand	1	
hkrul_defeated_trait_volrik	1	false	1	hkrul_volrik	1	
hkrul_defeated_trait_zach	1	false	1	hkrul_zach	1	
rhox_torinubar_defeated_torinubar	1	false	1	high_elves	1	
hkrul_defeated_trait_hrothyogg	1	false	1	hkrul_hrothyogg	1	
hkrul_defeated_trait_orghotts	1	false	1	hkrul_orghotts	1	
hkrul_defeated_trait_aelfric	1	false	1	hkrul_aelfric	1	
hkrul_defeated_trait_burlok	1	false	1	hkrul_burlok	1	
hkrul_defeated_trait_dolmance	1	false	1	hkrul_dolmance	1	
hkrul_defeated_trait_thorgar	1	false	1	hkrul_thorgar	1	
hkrul_defeated_trait_slaurith	1	false	1	hkrul_slaurith	1	
hkrul_defeated_trait_arbaal	1	false	1	hkrul_arbaal	1	
hkrul_defeated_trait_engra	1	false	1	hkrul_engra	1	
hkrul_defeated_trait_vroth	1	false	1	hkrul_vroth	1	
