key	group	initial_unit_count	pool	faction_requirement	subculture_requirement	tech_requirement
#mercenary_pool_to_groups_junctions_tables;1;db/mercenary_pool_to_groups_junctions_tables/rhox_iee_lccp						
1052539181	rhox_hrothyogg_ogr_inf_maneaters_0	0	wh3_main_ogr_units_of_renown_pool			
1052539182	rhox_hrothyogg_ogr_inf_maneaters_1	0	wh3_main_ogr_units_of_renown_pool			
1052539183	rhox_hrothyogg_ogr_inf_maneaters_2	0	wh3_main_ogr_units_of_renown_pool			
1052539184	rhox_hrothyogg_ogr_inf_maneaters_3	0	wh3_main_ogr_units_of_renown_pool			
1052539185	rhox_lenk_nor_feral_manticore	0	wh2_twa03_def_rakarth_merc_pool			
1052539186	rhox_lenk_nor_mon_warwolves_0	0	wh2_twa03_def_rakarth_merc_pool			
1052539187	rhox_lenk_nor_mon_war_mammoth_0	0	wh2_twa03_def_rakarth_merc_pool			
1052539188	hkrul_nor_bearmen	1	wh_dlc08_nor_units_of_renown_pool			
1052539189	hkrul_beorg_bear_sem	1	wh_dlc08_nor_units_of_renown_pool			
