technology	effect	effect_scope	value
#technology_effects_junction_tables;0;db/technology_effects_junction_tables/rhox_iee_lccp			
rhox_valbrand_kho_1	wh3_main_effect_army_ability_enable_horn_of_khorne	faction_to_force_own_unseen	1.0000
rhox_valbrand_kho_2	wh3_main_effect_army_ability_enable_relentless_rage	faction_to_force_own_unseen	1.0000
rhox_valbrand_kho_3	wh3_main_effect_army_ability_enable_blade_of_khorne	faction_to_force_own_unseen	1.0000
rhox_valbrand_kho_1	wh3_dlc20_effect_chs_gift_cap_mod_kho	faction_to_faction_own_unseen	1.0000
rhox_valbrand_kho_2	wh3_dlc20_effect_chs_gift_cap_mod_kho	faction_to_faction_own_unseen	1.0000
rhox_valbrand_kho_3	wh3_dlc20_effect_chs_gift_cap_mod_kho	faction_to_faction_own_unseen	1.0000
rhox_valbrand_normal_1	wh3_dlc20_effect_chs_gift_cap_mod_und	faction_to_faction_own_unseen	1.0000
rhox_valbrand_normal_2	wh3_dlc20_effect_chs_gift_cap_mod_und	faction_to_faction_own_unseen	1.0000
rhox_valbrand_normal_3	wh_main_effect_hordebuilding_growth_tech	faction_to_force_own_unseen	5.0000
