ability	land_unit
#land_units_to_unit_abilites_junctions_tables;0;db/land_units_to_unit_abilites_junctions_tables/rhox_iee_lccp	
wh_main_unit_passive_frenzy	rhox_arbaal_spawn
rhox_arbaal_spawn_spawn	hkrul_arbaal_mounted
hkrul_hroth_stew	hkrul_hrothyogg
wh3_main_unit_passive_single_entity	hkrul_hrothyogg
wh_main_character_abilities_foe_seeker	hkrul_hrothyogg
wh3_main_lord_passive_snacks	hkrul_hrothyogg
wh2_main_character_abilities_volley_of_dark_arrows	hkrul_duriath
wh2_main_character_passive_loose	hkrul_duriath
wh2_main_faction_abilities_murderous_prowess	hkrul_duriath
wh2_main_faction_abilities_murderous_prowess_indicator	hkrul_duriath
wh3_main_unit_passive_single_entity	hkrul_duriath
wh_main_character_abilities_foe_seeker	hkrul_duriath
wh2_main_character_abilities_volley_of_dark_arrows	hkrul_duriath_horse
wh2_main_character_passive_loose	hkrul_duriath_horse
wh2_main_faction_abilities_murderous_prowess	hkrul_duriath_horse
wh2_main_faction_abilities_murderous_prowess_indicator	hkrul_duriath_horse
wh3_main_unit_passive_single_entity	hkrul_duriath_horse
wh_main_character_abilities_foe_seeker	hkrul_duriath_horse
wh2_main_character_abilities_volley_of_dark_arrows	hkrul_duriath_dragon
wh2_main_character_passive_loose	hkrul_duriath_dragon
wh2_main_unit_abilities_noxious_breath	hkrul_duriath_dragon
wh3_main_unit_passive_single_entity	hkrul_duriath_dragon
wh_main_character_abilities_foe_seeker	hkrul_duriath_dragon
wh2_main_character_abilities_volley_of_dark_arrows	hkrul_duriath_pegasus
wh2_main_character_passive_loose	hkrul_duriath_pegasus
wh2_main_faction_abilities_murderous_prowess	hkrul_duriath_pegasus
wh2_main_faction_abilities_murderous_prowess_indicator	hkrul_duriath_pegasus
wh3_main_unit_passive_single_entity	hkrul_duriath_pegasus
wh_main_character_abilities_foe_seeker	hkrul_duriath_pegasus
