id	mission_key	option_key	value	target
#cdir_events_mission_option_junctions_tables;2;db/cdir_events_mission_option_junctions_tables/rhox_iee_lccp				
1786528661	rhox_burlok_ritual_burlok_artifact_1	VAR_OBJECTIVE_RITUAL	rhox_burlok_ritual_burlok_artifact_1	default
1786528662	rhox_burlok_ritual_burlok_artifact_2	VAR_OBJECTIVE_RITUAL	rhox_burlok_ritual_burlok_artifact_2	default
1786528663	rhox_burlok_ritual_burlok_artifact_3	VAR_OBJECTIVE_RITUAL	rhox_burlok_ritual_burlok_artifact_3	default
1786528664	rhox_burlok_ritual_burlok_artifact_4	VAR_OBJECTIVE_RITUAL	rhox_burlok_ritual_burlok_artifact_4	default
1786528665	rhox_burlok_ritual_burlok_artifact_5	VAR_OBJECTIVE_RITUAL	rhox_burlok_ritual_burlok_artifact_5	default
1786528666	rhox_burlok_ritual_burlok_artifact_6	VAR_OBJECTIVE_RITUAL	rhox_burlok_ritual_burlok_artifact_6	default
1786528667	rhox_burlok_ritual_burlok_artifact_7	VAR_OBJECTIVE_RITUAL	rhox_burlok_ritual_burlok_artifact_7	default
1786528668	rhox_burlok_ritual_burlok_artifact_8	VAR_OBJECTIVE_RITUAL	rhox_burlok_ritual_burlok_artifact_8	default
1786528669	rhox_burlok_ritual_burlok_artifact_1	VAR_FOLLOWUP_CHANCE	100	default
1786528670	rhox_burlok_ritual_burlok_artifact_2	VAR_FOLLOWUP_CHANCE	100	default
1786528671	rhox_burlok_ritual_burlok_artifact_3	VAR_FOLLOWUP_CHANCE	100	default
1786528672	rhox_burlok_ritual_burlok_artifact_4	VAR_FOLLOWUP_CHANCE	100	default
1786528673	rhox_burlok_ritual_burlok_artifact_5	VAR_FOLLOWUP_CHANCE	100	default
1786528674	rhox_burlok_ritual_burlok_artifact_6	VAR_FOLLOWUP_CHANCE	100	default
1786528675	rhox_burlok_ritual_burlok_artifact_7	VAR_FOLLOWUP_CHANCE	100	default
1786528676	rhox_burlok_ritual_burlok_artifact_8	VAR_FOLLOWUP_CHANCE	100	default
1786528677	rhox_burlok_ritual_burlok_artifact_1	VAR_OBJECTIVE_AMOUNT_INT	1	default
1786528678	rhox_burlok_ritual_burlok_artifact_2	VAR_OBJECTIVE_AMOUNT_INT	1	default
1786528679	rhox_burlok_ritual_burlok_artifact_3	VAR_OBJECTIVE_AMOUNT_INT	1	default
1786528680	rhox_burlok_ritual_burlok_artifact_4	VAR_OBJECTIVE_AMOUNT_INT	1	default
1786528681	rhox_burlok_ritual_burlok_artifact_5	VAR_OBJECTIVE_AMOUNT_INT	1	default
1786528682	rhox_burlok_ritual_burlok_artifact_6	VAR_OBJECTIVE_AMOUNT_INT	1	default
1786528683	rhox_burlok_ritual_burlok_artifact_7	VAR_OBJECTIVE_AMOUNT_INT	1	default
1786528684	rhox_burlok_ritual_burlok_artifact_8	VAR_OBJECTIVE_AMOUNT_INT	1	default
1786528685	rhox_burlok_ritual_burlok_artifact_1	VAR_CHANCE	100	default
1786528686	rhox_burlok_ritual_burlok_artifact_2	VAR_CHANCE	100	default
1786528687	rhox_burlok_ritual_burlok_artifact_3	VAR_CHANCE	100	default
1786528688	rhox_burlok_ritual_burlok_artifact_4	VAR_CHANCE	100	default
1786528689	rhox_burlok_ritual_burlok_artifact_5	VAR_CHANCE	100	default
1786528690	rhox_burlok_ritual_burlok_artifact_6	VAR_CHANCE	100	default
1786528691	rhox_burlok_ritual_burlok_artifact_7	VAR_CHANCE	100	default
1786528692	rhox_burlok_ritual_burlok_artifact_8	VAR_CHANCE	100	default
1786528693	rhox_burlok_ritual_burlok_artifact_1	VAR_MISSION_LENGTH_INFINITE		default
1786528694	rhox_burlok_ritual_burlok_artifact_2	VAR_MISSION_LENGTH_INFINITE		default
1786528695	rhox_burlok_ritual_burlok_artifact_3	VAR_MISSION_LENGTH_INFINITE		default
1786528696	rhox_burlok_ritual_burlok_artifact_4	VAR_MISSION_LENGTH_INFINITE		default
1786528697	rhox_burlok_ritual_burlok_artifact_5	VAR_MISSION_LENGTH_INFINITE		default
1786528698	rhox_burlok_ritual_burlok_artifact_6	VAR_MISSION_LENGTH_INFINITE		default
1786528699	rhox_burlok_ritual_burlok_artifact_7	VAR_MISSION_LENGTH_INFINITE		default
1786528700	rhox_burlok_ritual_burlok_artifact_8	VAR_MISSION_LENGTH_INFINITE		default
1786528701	rhox_burlok_ritual_burlok_artifact_1	GEN_TARGET_NONE		default
1786528702	rhox_burlok_ritual_burlok_artifact_2	GEN_TARGET_NONE		default
1786528703	rhox_burlok_ritual_burlok_artifact_3	GEN_TARGET_NONE		default
1786528704	rhox_burlok_ritual_burlok_artifact_4	GEN_TARGET_NONE		default
1786528705	rhox_burlok_ritual_burlok_artifact_5	GEN_TARGET_NONE		default
1786528706	rhox_burlok_ritual_burlok_artifact_6	GEN_TARGET_NONE		default
1786528707	rhox_burlok_ritual_burlok_artifact_7	GEN_TARGET_NONE		default
1786528708	rhox_burlok_ritual_burlok_artifact_8	GEN_TARGET_NONE		default
1786528709	rhox_sceolan_conderation_mission	VAR_FOLLOWUP_CHANCE	100	default
1786528710	rhox_sceolan_conderation_mission	VAR_OBJECTIVE_SUBCULTURE	wh2_main_sc_hef_high_elves	default
1786528711	rhox_sceolan_conderation_mission	VAR_CHANCE	100	default
1786528712	rhox_sceolan_conderation_mission	VAR_OBJECTIVE_NUM_ARMIES	1	default
1786528713	rhox_sceolan_conderation_mission	VAR_MISSION_LENGTH_INFINITE		default
1786528714	rhox_sceolan_conderation_mission	GEN_TARGET_NONE		default
1786528715	rhox_sceolan_conderation_mission	VAR_OBJECTIVE_REQUIRES_VICTORY		default
1786528716	rhox_spew_survival_mission	VAR_CHANCE	100	default
1786528717	rhox_spew_survival_mission	VAR_MISSION_LENGTH_INFINITE		default
1786528718	rhox_spew_survival_mission	GEN_TARGET_NONE		default
1786528719	rhox_iee_lccp_tze_blue_scribes_stage_1_nor	VAR_OBJECTIVE_AMOUNT_INT	500	default
1786528720	rhox_iee_lccp_tze_blue_scribes_stage_1_nor	VAR_OBJECTIVE_ADDITIVE		default
1786528721	rhox_iee_lccp_tze_blue_scribes_stage_1_nor	VAR_CHANCE	100	default
