faction	stance
#campaign_stances_factions_junctions_tables;0;db/campaign_stances_factions_junctions_tables/rhox_iee_lccp	
cr_hef_gate_guards	MILITARY_FORCE_ACTIVE_STANCE_TYPE_FIXED_CAMP
rhox_nor_firebrand_slavers	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SETTLE
rhox_nor_firebrand_slavers	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH
rhox_nor_firebrand_slavers	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET
rhox_nor_firebrand_slavers	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT
rhox_nor_firebrand_slavers	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME
rhox_nor_firebrand_slavers	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
rhox_nor_firebrand_slavers	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH
rhox_nor_firebrand_slavers	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER
rhox_nor_firebrand_slavers	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SEA_RAID
rhox_nor_firebrand_slavers	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP_RAIDING
rhox_brt_reveller_of_domance	MILITARY_FORCE_ACTIVE_STANCE_TYPE_AMBUSH
rhox_brt_reveller_of_domance	MILITARY_FORCE_ACTIVE_STANCE_TYPE_ASSEMBLE_FLEET
rhox_brt_reveller_of_domance	MILITARY_FORCE_ACTIVE_STANCE_TYPE_CHANNELING
rhox_brt_reveller_of_domance	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DEFAULT
rhox_brt_reveller_of_domance	MILITARY_FORCE_ACTIVE_STANCE_TYPE_DOUBLE_TIME
rhox_brt_reveller_of_domance	MILITARY_FORCE_ACTIVE_STANCE_TYPE_LAND_RAID
rhox_brt_reveller_of_domance	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MARCH
rhox_brt_reveller_of_domance	MILITARY_FORCE_ACTIVE_STANCE_TYPE_MUSTER
rhox_brt_reveller_of_domance	MILITARY_FORCE_ACTIVE_STANCE_TYPE_SET_CAMP
