key	text	tooltip
#Loc;1;text/db/hkrul_zach_character_skills__.loc		
character_skills_localised_name_innate_hkrul_zach	The Everliving	true
character_skills_localised_description_innate_hkrul_zach	Placeholder Text Placeholder Text	true
character_skills_localised_description_hkrul_zach_special_0_1	Placeholder Text Placeholder Text	true
character_skills_localised_name_hkrul_zach_special_0_1	The Manned Walls	true
character_skills_localised_description_hkrul_zach_special_1_1	Placeholder Text Placeholder Text	true
character_skills_localised_name_hkrul_zach_special_1_1	Key to Fort Helmgart	true
character_skills_localised_description_hkrul_zach_special_1_2	Placeholder Text Placeholder Text	true
character_skills_localised_name_hkrul_zach_special_1_2	Rebellious Warden	true
character_skills_localised_description_hkrul_zach_special_2_0	Placeholder Text Placeholder Text	true
character_skills_localised_name_hkrul_zach_special_2_0	The Uncanning Gift	true
character_skills_localised_description_hkrul_zach_special_1_0	Placeholder Text Placeholder Text	true
character_skills_localised_name_hkrul_zach_special_1_0	Fortress Wardens	true
character_skills_localised_description_hkrul_zach_special_1_3	Placeholder Text Placeholder Text	true
character_skills_localised_name_hkrul_zach_special_1_3	The Barrage Abundance	true
character_skills_localised_description_hkrul_zach_special_0_2	Placeholder Text Placeholder Text	true
character_skills_localised_name_hkrul_zach_special_0_2	Margrave von zachensen	true
character_skills_localised_description_hkrul_zach_mount	Placeholder Text Placeholder Text	true
character_skills_localised_name_hkrul_zach_mount	Barded Warhorse	true
character_skills_localised_name_hkrul_zach_mount_2	Imperial Pegasus	false
character_skills_localised_description_hkrul_zach_mount_2	Placeholder Text Placeholder Text	false
character_skills_localised_name_hkrul_zach_mount_3	Imperial Griffon	false
character_skills_localised_description_hkrul_zach_mount_3	Placeholder Text Placeholder Text	false
character_skills_localised_description_hkrul_zach_special_1_4	Placeholder Text Placeholder Text	true
character_skills_localised_name_hkrul_zach_special_1_4	zachensen's Plot	true
