key	text	tooltip
#Loc;1;text/db/!rhox_iee_lccp_frontend.loc		
frontend_faction_leaders_frontend_description_cr_political_party_combi_vmp_the_everliving	frontend_faction_leaders_frontend_description_cr_political_party_combi_vmp_the_everliving	false
frontend_faction_leaders_loading_screen_text_cr_political_party_combi_vmp_the_everliving	frontend_faction_leaders_loading_screen_text_cr_political_party_combi_vmp_the_everliving	false
frontend_faction_leaders_localised_action_points_cr_political_party_combi_vmp_the_everliving	frontend_faction_leaders_localised_action_points_cr_political_party_combi_vmp_the_everliving	false
frontend_faction_leaders_localised_description_cr_political_party_combi_vmp_the_everliving	frontend_faction_leaders_localised_description_cr_political_party_combi_vmp_the_everliving	false
frontend_faction_leaders_frontend_description_cr_political_party_combi_wef_far_away_forest	Exiles of Atylwyth	false
frontend_faction_leaders_loading_screen_text_cr_political_party_combi_wef_far_away_forest	Test 1	false
frontend_faction_leaders_localised_action_points_cr_political_party_combi_wef_far_away_forest	Test 2	false
frontend_faction_leaders_localised_description_cr_political_party_combi_wef_far_away_forest	Test 3	false
frontend_faction_leaders_frontend_description_cr_political_party_combi_brt_leofrics_fellowship	frontend_faction_leaders_frontend_description_cr_political_party_combi_brt_leofrics_fellowship	false
frontend_faction_leaders_loading_screen_text_cr_political_party_combi_brt_leofrics_fellowship	frontend_faction_leaders_loading_screen_text_cr_political_party_combi_brt_leofrics_fellowship	false
frontend_faction_leaders_localised_action_points_cr_political_party_combi_brt_leofrics_fellowship	frontend_faction_leaders_localised_action_points_cr_political_party_combi_brt_leofrics_fellowship	false
frontend_faction_leaders_localised_description_cr_political_party_combi_brt_leofrics_fellowship	frontend_faction_leaders_localised_description_cr_political_party_combi_brt_leofrics_fellowship	false
frontend_faction_leaders_frontend_description_cr_political_party_combi_brt_reveller_of_domance	frontend_faction_leaders_frontend_description_cr_political_party_combi_brt_reveller_of_domance	false
frontend_faction_leaders_loading_screen_text_cr_political_party_combi_brt_reveller_of_domance	frontend_faction_leaders_loading_screen_text_cr_political_party_combi_brt_reveller_of_domance	false
frontend_faction_leaders_localised_action_points_cr_political_party_combi_brt_reveller_of_domance	frontend_faction_leaders_localised_action_points_cr_political_party_combi_brt_reveller_of_domance	false
frontend_faction_leaders_localised_description_cr_political_party_combi_brt_reveller_of_domance	frontend_faction_leaders_localised_description_cr_political_party_combi_brt_reveller_of_domance	false
frontend_faction_leaders_frontend_description_cr_political_party_combi_chs_the_scourgeborn	frontend_faction_leaders_frontend_description_cr_political_party_combi_chs_the_scourgeborn	false
frontend_faction_leaders_loading_screen_text_cr_political_party_combi_chs_the_scourgeborn	frontend_faction_leaders_loading_screen_text_cr_political_party_combi_chs_the_scourgeborn	false
frontend_faction_leaders_localised_action_points_cr_political_party_combi_chs_the_scourgeborn	frontend_faction_leaders_localised_action_points_cr_political_party_combi_chs_the_scourgeborn	false
frontend_faction_leaders_localised_description_cr_political_party_combi_chs_the_scourgeborn	frontend_faction_leaders_localised_description_cr_political_party_combi_chs_the_scourgeborn	false
frontend_faction_leaders_frontend_description_cr_political_party_combi_def_corsairs_of_spite	frontend_faction_leaders_frontend_description_cr_political_party_combi_def_corsairs_of_spite	false
frontend_faction_leaders_loading_screen_text_cr_political_party_combi_def_corsairs_of_spite	frontend_faction_leaders_loading_screen_text_cr_political_party_combi_def_corsairs_of_spite	false
frontend_faction_leaders_localised_action_points_cr_political_party_combi_def_corsairs_of_spite	frontend_faction_leaders_localised_action_points_cr_political_party_combi_def_corsairs_of_spite	false
frontend_faction_leaders_localised_description_cr_political_party_combi_def_corsairs_of_spite	frontend_faction_leaders_localised_description_cr_political_party_combi_def_corsairs_of_spite	false
frontend_faction_leaders_frontend_description_cr_political_party_combi_def_key_keepers	frontend_faction_leaders_frontend_description_cr_political_party_combi_def_key_keepers	false
frontend_faction_leaders_loading_screen_text_cr_political_party_combi_def_key_keepers	frontend_faction_leaders_loading_screen_text_cr_political_party_combi_def_key_keepers	false
frontend_faction_leaders_localised_action_points_cr_political_party_combi_def_key_keepers	frontend_faction_leaders_localised_action_points_cr_political_party_combi_def_key_keepers	false
frontend_faction_leaders_localised_description_cr_political_party_combi_def_key_keepers	frontend_faction_leaders_localised_description_cr_political_party_combi_def_key_keepers	false
frontend_faction_leaders_frontend_description_cr_political_party_combi_dwf_firebeards_excavators	frontend_faction_leaders_frontend_description_cr_political_party_combi_dwf_firebeards_excavators	false
frontend_faction_leaders_loading_screen_text_cr_political_party_combi_dwf_firebeards_excavators	frontend_faction_leaders_loading_screen_text_cr_political_party_combi_dwf_firebeards_excavators	false
frontend_faction_leaders_localised_action_points_cr_political_party_combi_dwf_firebeards_excavators	frontend_faction_leaders_localised_action_points_cr_political_party_combi_dwf_firebeards_excavators	false
frontend_faction_leaders_localised_description_cr_political_party_combi_dwf_firebeards_excavators	frontend_faction_leaders_localised_description_cr_political_party_combi_dwf_firebeards_excavators	false
frontend_faction_leaders_frontend_description_cr_political_party_combi_hef_tor_elithis	frontend_faction_leaders_frontend_description_cr_political_party_combi_hef_tor_elithis	false
frontend_faction_leaders_loading_screen_text_cr_political_party_combi_hef_tor_elithis	frontend_faction_leaders_loading_screen_text_cr_political_party_combi_hef_tor_elithis	false
frontend_faction_leaders_localised_action_points_cr_political_party_combi_hef_tor_elithis	frontend_faction_leaders_localised_action_points_cr_political_party_combi_hef_tor_elithis	false
frontend_faction_leaders_localised_description_cr_political_party_combi_hef_tor_elithis	frontend_faction_leaders_localised_description_cr_political_party_combi_hef_tor_elithis	false
frontend_faction_leaders_frontend_description_cr_political_party_combi_nor_avags	frontend_faction_leaders_frontend_description_cr_political_party_combi_nor_avags	false
frontend_faction_leaders_loading_screen_text_cr_political_party_combi_nor_avags	frontend_faction_leaders_loading_screen_text_cr_political_party_combi_nor_avags	false
frontend_faction_leaders_localised_action_points_cr_political_party_combi_nor_avags	frontend_faction_leaders_localised_action_points_cr_political_party_combi_nor_avags	false
frontend_faction_leaders_localised_description_cr_political_party_combi_nor_avags	frontend_faction_leaders_localised_description_cr_political_party_combi_nor_avags	false
frontend_faction_leaders_frontend_description_cr_political_party_combi_nor_tokmars	frontend_faction_leaders_frontend_description_cr_political_party_combi_nor_tokmars	false
frontend_faction_leaders_loading_screen_text_cr_political_party_combi_nor_tokmars	frontend_faction_leaders_loading_screen_text_cr_political_party_combi_nor_tokmars	false
frontend_faction_leaders_localised_action_points_cr_political_party_combi_nor_tokmars	frontend_faction_leaders_localised_action_points_cr_political_party_combi_nor_tokmars	false
frontend_faction_leaders_localised_description_cr_political_party_combi_nor_tokmars	frontend_faction_leaders_localised_description_cr_political_party_combi_nor_tokmars	false
frontend_faction_leaders_frontend_description_cr_political_party_combi_nur_tide_of_pestilence	frontend_faction_leaders_frontend_description_cr_political_party_combi_nur_tide_of_pestilence	false
frontend_faction_leaders_loading_screen_text_cr_political_party_combi_nur_tide_of_pestilence	frontend_faction_leaders_loading_screen_text_cr_political_party_combi_nur_tide_of_pestilence	false
frontend_faction_leaders_localised_action_points_cr_political_party_combi_nur_tide_of_pestilence	frontend_faction_leaders_localised_action_points_cr_political_party_combi_nur_tide_of_pestilence	false
frontend_faction_leaders_localised_description_cr_political_party_combi_nur_tide_of_pestilence	frontend_faction_leaders_localised_description_cr_political_party_combi_nur_tide_of_pestilence	false
frontend_faction_leaders_frontend_description_cr_political_party_combi_ogr_deathtoll	frontend_faction_leaders_frontend_description_cr_political_party_combi_ogr_deathtoll	false
frontend_faction_leaders_loading_screen_text_cr_political_party_combi_ogr_deathtoll	frontend_faction_leaders_loading_screen_text_cr_political_party_combi_ogr_deathtoll	false
frontend_faction_leaders_localised_action_points_cr_political_party_combi_ogr_deathtoll	frontend_faction_leaders_localised_action_points_cr_political_party_combi_ogr_deathtoll	false
frontend_faction_leaders_localised_description_cr_political_party_combi_ogr_deathtoll	frontend_faction_leaders_localised_description_cr_political_party_combi_ogr_deathtoll	false
frontend_faction_leaders_frontend_description_cr_political_party_combi_rhox_destroyers_of_khorne	frontend_faction_leaders_frontend_description_cr_political_party_combi_rhox_destroyers_of_khorne	false
frontend_faction_leaders_loading_screen_text_cr_political_party_combi_rhox_destroyers_of_khorne	frontend_faction_leaders_loading_screen_text_cr_political_party_combi_rhox_destroyers_of_khorne	false
frontend_faction_leaders_localised_action_points_cr_political_party_combi_rhox_destroyers_of_khorne	frontend_faction_leaders_localised_action_points_cr_political_party_combi_rhox_destroyers_of_khorne	false
frontend_faction_leaders_localised_description_cr_political_party_combi_rhox_destroyers_of_khorne	frontend_faction_leaders_localised_description_cr_political_party_combi_rhox_destroyers_of_khorne	false
frontend_faction_leaders_frontend_description_cr_political_party_combi_tmb_sons_of_ptra	frontend_faction_leaders_frontend_description_cr_political_party_combi_tmb_sons_of_ptra	false
