faction_key	campaign_key	level	skill_key	subculture_key	image_path	unlocked_at_rank
#character_skill_level_details_tables;1;db/character_skill_level_details_tables/hkrul_sceolan						
		1	hkrul_sceolan_mount		x	8
		1	hkrul_sceolan_mount_2		x	15
		1	hkrul_sceolan_mount_3		x	21
		1	rhox_sceolan_the_bow_of_loren		x	12
		1	rhox_sceolan_the_buckler		x	7
		1	rhox_sceolan_wise_cunning		x	5
		1	rhox_sceolan_ambush_master		x	8
		1	rhox_sceolan_up_close_personal		x	11
		1	rhox_sceolan_lord_of_winterheart		x	14
