id	names_group	type	gender	frequency
#names_tables;0;db/names_tables/hkrul_lccp				
24555523	names_wef_wood_elves	forename	m	0
24444424	names_nur_nurgle	forename	b	0
24444423	names_nur_nurgle	family_name	b	0
2670700823	names_brt_bretonnia	family_name	b	0
2670700824	names_brt_bretonnia	forename	b	0
5670700324	names_chs_chaos	family_name	b	0
5670700325	names_chs_chaos	forename	b	0
466124000	names_kho_khorne	forename	m	0
5670700835	names_nor_norsca	family_name	b	0
5670700836	names_nor_norsca	forename	b	0
6330700833	names_nor_norsca	family_name	b	0
6330700834	names_nor_norsca	forename	b	0
4170700722	names_nor_norsca	forename	b	0
4170700720	names_nor_norsca	family_name	b	0
5670700722	names_nor_norsca	forename	b	0
5670700719	names_nor_norsca	family_name	b	0
6670702833	names_vmp_vampire_counts	family_name	b	0
6670702834	names_vmp_vampire_counts	forename	b	0
9987364589	names_hef_high_elves	forename	m	0
