group_key	unit_key	quality
#cdir_military_generator_unit_qualities_tables;1;db/cdir_military_generator_unit_qualities_tables/rhox_iee_lccp		
wh3_default_land_melee_infantry_main_frontline_spears_high_quality	hef_calith_gatekeepers	20
wh3_default_land_characters	rhox_hrothyogg_recruiter	10
wh3_default_land_monsters_heavy	rhox_lenk_nor_feral_manticore	4
wh3_default_land_monsters_flanking	rhox_lenk_nor_mon_warwolves_0	3
wh3_default_land_monsters_heavy	rhox_lenk_nor_mon_war_mammoth_0	16
wh3_default_land_characters	hkrul_oerl	10
wh3_default_land_melee_infantry_main_frontline_swords_high_quality	hkrul_bearmen	10
wh3_default_land_monsters_flanking	hkrul_beorg_brown_feral	6
wh3_default_land_monsters_flanking	hkrul_beorg_ice_feral	7
wh3_default_land_monsters_heavy	hkrul_beorg_bear_sem	10
wh3_default_land_monsters_flanking	hkrul_beorg_brown_feral_marked	8
