attrition	unit
#campaign_map_attrition_unit_immunities_tables;0;db/campaign_map_attrition_unit_immunities_tables/rhox_iee_lccp	
non_vampire_territory	rhox_hrothyogg_ogr_inf_maneaters_0
non_vampire_territory	rhox_hrothyogg_ogr_inf_maneaters_1
non_vampire_territory	rhox_hrothyogg_ogr_inf_maneaters_2
non_vampire_territory	rhox_hrothyogg_ogr_inf_maneaters_3
chaos_territory	rhox_lenk_nor_feral_manticore
mountain	rhox_lenk_nor_feral_manticore
non_vampire_territory	rhox_lenk_nor_feral_manticore
nurgle_plague	rhox_lenk_nor_feral_manticore
snow	rhox_lenk_nor_feral_manticore
chaos_territory	rhox_lenk_nor_mon_warwolves_0
mountain	rhox_lenk_nor_mon_warwolves_0
non_vampire_territory	rhox_lenk_nor_mon_warwolves_0
nurgle_plague	rhox_lenk_nor_mon_warwolves_0
snow	rhox_lenk_nor_mon_warwolves_0
chaos_territory	rhox_lenk_nor_mon_war_mammoth_0
mountain	rhox_lenk_nor_mon_war_mammoth_0
non_vampire_territory	rhox_lenk_nor_mon_war_mammoth_0
nurgle_plague	rhox_lenk_nor_mon_war_mammoth_0
snow	rhox_lenk_nor_mon_war_mammoth_0
non_vampire_territory	hkrul_bearmen
chaos_territory	hkrul_bearmen
nurgle_plague	hkrul_bearmen
mountain	hkrul_bearmen
snow	hkrul_bearmen
non_vampire_territory	hkrul_oerl
mountain	hkrul_oerl
nurgle_plague	hkrul_oerl
snow	hkrul_oerl
chaos_territory	hkrul_oerl
mountain	hkrul_beorg_brown_feral
snow	hkrul_beorg_brown_feral
chaos_territory	hkrul_beorg_brown_feral
mountain	hkrul_beorg_ice_feral
snow	hkrul_beorg_ice_feral
chaos_territory	hkrul_beorg_ice_feral
